title,url,youtube_id,start_seconds,end_seconds
Where's the spoon?,http://ww​w.youtube​.com/watc​h?v=CKsSv​R5u-qk,CKsSv​R5u-qk,,
Blankman jizzing,http://www.youtube.com/watch?v=e6_ciqK_ebg,e6_ciqK_ebg,5,55
"Mutton, lettuce tomato",http://www.youtube.com/watch?v=X90qKQAMh8A,X90qKQAMh8A,85,129
Swayze throat rip,http://www.youtube.com/watch?v=OlnBvrV8IW4,OlnBvrV8IW4,53,65
Jr. Sr. move your feet,http://www.youtube.com/watch?v=SPlQpGeTbIE,SPlQpGeTbIE,,
akroid + digital underground,http://www.youtube.com/watch?v=jGVZISx-oWs,jGVZISx-oWs,110,240
Ghostbusters/dickless,http://www.youtube.com/watch?v=G-b-CfHbPGQ,G-b-CfHbPGQ,16,28
hasta la vista,http://www.youtube.com/watch?v=tXhbm4IXdsE,tXhbm4IXdsE,92,168
arnie vs the kids,http://www.youtube.com/watch?v=tO4X8_c80kg,tO4X8_c80kg,61,100
the sword fight,http://www.youtube.com/watch?v=lC6dgtBU6Gs,lC6dgtBU6Gs,,
i can't go for that,http://www.youtube.com/watch?feature=player_embedded&v=ccenFp_3kq8,ccenFp_3kq8,,
david bowie is crazy,http://www.youtube.com/watch?v=ViftZTfRSt8,ViftZTfRSt8,,
its our time,http://www.youtube.com/watch?v=0atATbXbQ9g,0atATbXbQ9g,,40
purple rain,WE WILL FIND IT,,,
panama!,http://www.youtube.com/watch?v=w-NshzYK9y0,w-NshzYK9y0,,
the dan fahy anthem,http://www.youtube.com/watch?v=t1TcDHrkQYg,t1TcDHrkQYg,,
who's on first?,http://www.youtube.com/watch?v=sShMA85pv8M,sShMA85pv8M,,
top gun anthem,http://www.youtube.com/watch?v=zCTJmXrgsFg,zCTJmXrgsFg,,
no easy way out,http://www.youtube.com/watch?NR=1&feature=endscreen&v=MwPb7g_BlXQ,MwPb7g_BlXQ,4,
for the ladies,http://www.youtube.com/watch?v=Lwd5_AD7jw8,Lwd5_AD7jw8,3,
it's good it's good,http://www.youtube.com/watch?v=TQXuazYI_YU,TQXuazYI_YU,62,125
it's and oldie where i come from,http://www.youtube.com/watch?v=S1i5coU-0_Q,S1i5coU-0_Q,,
"big bear, man!",http://www.youtube.com/watch?v=feeIOZH7wr4,feeIOZH7wr4,,58
splits,http://www.youtube.com/watch?v=-3-tn97C6bc,-3-tn97C6bc,81,186
classic van damme,http://www.youtube.com/watch?v=27FAZUGsUKs,27FAZUGsUKs,54,
seriously the BEST clip ever,http://www.youtube.com/watch?v=iBktYJsJq-E,iBktYJsJq-E,19,
you've got the touch!,http://www.youtube.com/watch?v=AZKpByV5764,AZKpByV5764,,
good enough,http://www.youtube.com/watch?v=LxLhytQ67fs,LxLhytQ67fs,135,
everything? everything!,http://www.youtube.com/watch?v=Q5UG7ISJfP0,Q5UG7ISJfP0,,
via con dios,http://www.youtube.com/watch?v=O1ud7EnrZHQ,O1ud7EnrZHQ,332,424
east side high,http://www.youtube.com/watch?v=wIKVj18BgXs,wIKVj18BgXs,,80
lean on me,http://www.youtube.com/watch?v=omBaFpxkBOQ,omBaFpxkBOQ,,
we're not doctors!,http://www.youtube.com/watch?v=9Lge2_H_8IQ,9Lge2_H_8IQ,,
tailpipe,http://www.youtube.com/watch?v=3sRhm3SsdHM,3sRhm3SsdHM,,
STAY ALIVE,http://www.youtube.com/watch?v=yoSzetoxZ34,yoSzetoxZ34,60,85
gimme pizza!,http://www.youtube.com/watch?v=wusGIl3v044,wusGIl3v044,,
Big ole butt!,http://www.youtube.com/watch?v=84LUpG6ieis,84LUpG6ieis,,
it used to be shithouse!,http://www.youtube.com/watch?v=Rt3gcSyL5vg,Rt3gcSyL5vg,,
nic cage losing his shit,http://www.youtube.com/watch?v=xP1-oquwoL8,xP1-oquwoL8,8,
hot rhino,http://www.youtube.com/watch?v=Nh2iyPmucFk,Nh2iyPmucFk,,
freedom!,http://www.youtube.com/watch?v=diYAc7gB-0A,diYAc7gB-0A,13,
time of my life,http://www.youtube.com/watch?v=WpmILPAcRQo,WpmILPAcRQo,138,210
GHOST,http://www.youtube.com/watch?v=895PZQJK5TM,895PZQJK5TM,,196